ayacucho,caicara,ciudad_bolivar,palua
49.05,29.54,10.68,6.30
49.06,29.61,10.72,6.41
49.06,29.67,10.80,6.47
49.08,29.72,10.88,6.64
49.11,29.76,10.94,6.61
49.11,29.82,11.02,6.57
49.14,29.86,11.08,6.59
49.15,29.90,11.20,6.91
49.22,29.94,11.34,7.20
49.26,29.98,11.48,7.35
49.31,30.02,11.58,7.53
49.37,30.09,11.70,7.74
49.43,30.14,11.82,7.77
49.63,30.21,11.94,7.88
49.77,30.34,12.06,8.00
49.90,30.44,12.16,8.20
49.98,30.51,12.26,8.30
50.06,30.55,12.42,8.35
50.08,30.58,12.46,8.27
50.16,30.73,12.52,8.34
50.21,30.79,12.66,8.50
50.26,30.85,12.74,8.60
50.27,30.89,12.78,8.53
50.28,30.97,12.86,8.33
50.31,31.06,13.12,8.51
50.36,31.14,13.32,8.63
50.48,31.21,13.46,8.87
50.58,31.28,13.58,9.09
50.66,31.38,13.66,9.21
50.83,31.52,13.74,9.31
50.86,31.59,13.80,9.27
50.86,31.67,13.92,9.36
50.87,31.74,14.02,9.46
50.88,31.80,14.06,9.58
50.88,31.87,14.06,9.35
50.87,31.94,14.06,9.43
50.84,32.00,14.04,9.43
50.78,32.05,14.06,9.27
50.74,32.11,14.10,9.37
50.64,32.13,14.10,9.37
50.52,32.14,14.12,9.37
50.45,32.13,14.12,9.25
50.34,32.09,14.10,9.15
50.19,32.09,14.06,9.10
50.12,32.02,14.12,9.14
50.06,32.00,14.18,9.28
50.00,32.00,14.22,9.33
49.95,31.95,14.22,9.41
49.86,31.91,14.16,9.47
49.78,31.97,14.12,9.49
49.77,31.95,14.12,9.54
49.76,31.91,14.12,9.55
49.74,31.87,14.12,9.56
49.69,31.84,14.12,9.63
49.68,31.83,14.11,9.62
49.70,31.81,14.10,9.62
49.68,31.78,14.10,9.64
49.66,31.76,14.08,9.65
49.62,31.73,14.07,9.67
49.58,31.69,14.02,9.67
49.55,31.66,13.98,9.74
49.50,31.57,13.93,9.65
49.44,31.61,13.89,9.62
49.39,31.58,13.86,9.58
49.35,31.55,13.84,9.66
49.35,31.51,13.81,9.64
49.35,31.48,13.79,9.65
49.26,31.45,13.77,9.63
49.22,31.43,13.75,9.55
49.22,31.46,13.73,9.47
49.19,31.44,13.71,9.43
49.18,31.42,13.70,9.39
49.16,31.40,13.68,9.37
49.16,31.39,13.67,9.33
49.16,31.38,13.65,9.31
49.16,31.38,13.64,9.24
49.16,31.37,13.63,9.15
49.15,31.37,13.61,9.11
49.10,31.36,13.60,9.07
49.06,31.35,13.59,9.17
49.06,31.35,13.59,9.31
49.01,31.34,13.58,9.35
48.96,31.33,13.57,9.18
48.96,31.33,13.57,9.12
48.96,31.32,13.55,8.98
48.97,31.32,13.52,8.93
49.01,31.31,13.48,8.91
49.01,31.29,13.45,8.87
49.01,31.28,13.41,8.83
49.04,31.27,13.40,8.90
49.06,31.27,13.36,8.78
49.06,31.28,13.32,8.88
49.06,31.28,13.31,8.88
49.08,31.29,13.31,8.89
49.08,31.30,13.30,8.91
48.99,31.28,13.32,8.91
48.92,31.24,13.30,8.85
48.83,31.20,13.24,8.63
48.74,31.14,13.17,8.57
48.66,31.09,13.09,8.40
48.58,31.00,13.00,8.31
48.46,30.89,12.90,8.21
48.31,30.78,12.79,8.14
48.15,30.70,12.72,8.02
48.00,30.60,12.63,7.95
47.85,30.47,12.54,7.90
47.70,30.34,12.45,7.83
47.58,30.26,12.45,7.85
47.46,30.15,12.41,7.97
47.34,30.04,12.35,8.06
47.25,29.94,12.23,8.01
47.14,29.80,12.05,7.83
46.99,29.67,11.87,7.63
46.84,29.52,11.73,7.51
46.81,29.31,11.59,7.47
46.71,29.16,11.43,7.35
46.56,28.97,11.26,7.23
46.44,28.86,11.10,7.07
46.30,28.76,11.00,7.15
46.15,28.65,10.91,7.11
46.00,28.56,10.77,7.01
45.91,28.45,10.61,6.92
45.81,28.32,10.45,6.73
45.71,28.19,10.33,6.68
45.61,28.08,10.26,6.55
45.54,27.99,10.21,6.45
45.48,27.89,10.14,6.48
45.46,27.79,10.12,6.54
45.46,27.73,10.06,6.60
45.46,27.68,9.97,6.48
45.54,27.62,9.91,6.41
45.63,27.57,9.79,6.37
45.73,27.54,9.68,6.30
45.82,27.52,9.57,6.13
45.85,27.54,9.47,5.99
