ayacucho,caicara,ciudad_bolivar,palua
42.72,26.16,5.98,2.37
42.74,26.09,5.90,2.26
42.74,26.04,5.84,2.45
42.72,26.00,5.73,2.30
42.72,25.99,5.69,2.43
42.68,25.96,5.65,2.35
42.62,25.93,5.67,2.30
42.60,25.91,5.73,2.30
42.52,25.87,5.71,2.32
42.52,25.84,5.69,2.24
42.55,25.83,5.67,2.06
42.55,25.83,5.67,2.16
42.58,25.83,5.67,2.22
42.62,25.82,5.65,2.20
42.59,25.82,5.55,2.07
42.57,25.82,5.46,1.97
42.52,25.82,5.38,1.89
42.42,25.80,5.32,1.83
42.32,25.77,5.28,1.79
42.22,25.70,5.25,1.76
42.11,25.62,5.21,1.68
41.99,25.56,5.15,1.70
41.92,25.46,5.09,1.66
41.80,25.37,4.98,1.65
41.72,25.27,4.88,1.63
41.64,25.18,4.76,1.60
41.52,25.09,4.67,1.54
41.44,25.00,4.57,1.49
41.33,24.90,4.46,1.46
41.25,24.80,4.36,1.44
41.17,24.72,4.32,1.36
41.09,24.63,4.19,1.30
41.02,24.54,4.07,1.16
40.96,24.46,3.98,1.08
40.88,24.40,3.88,1.04
40.84,24.32,3.77,1.04
40.80,24.23,3.68,1.02
40.76,24.15,3.59,1.00
40.72,24.07,3.55,0.99
40.66,23.98,3.48,0.95
40.63,23.87,3.41,0.90
40.56,23.84,3.34,0.90
40.51,23.78,3.28,0.90
40.46,23.73,3.24,0.88
40.42,23.69,3.19,0.84
40.36,23.65,3.13,0.80
40.32,23.60,3.08,0.75
40.28,23.55,3.02,0.72
40.24,23.51,2.94,0.66
40.22,23.47,2.85,0.63
40.20,23.42,2.77,0.66
40.17,23.39,2.88,0.72
40.19,23.37,2.83,0.72
40.22,23.35,2.79,0.70
40.28,23.36,2.79,0.75
40.28,23.38,2.79,0.80
,,,
40.31,23.41,2.81,0.78
40.46,23.45,2.90,0.78
40.49,23.51,2.90,0.77
40.52,23.56,3.00,0.78
40.56,23.64,3.20,0.76
40.56,23.74,3.29,0.77
40.58,23.81,3.30,0.76
40.62,23.91,3.28,0.74
40.63,24.05,3.25,0.77
40.60,24.23,3.21,0.78
40.54,24.31,3.25,0.82
40.48,24.27,3.31,0.82
40.44,24.16,3.41,0.91
40.43,24.06,3.48,0.96
40.43,23.96,3.50,1.04
40.44,23.85,3.48,1.04
40.46,23.78,3.40,1.06
40.48,23.73,3.29,1.02
40.48,23.70,3.20,0.96
40.48,23.67,3.14,0.87
40.56,23.71,3.07,0.83
40.51,23.74,3.03,0.81
40.52,23.85,2.96,0.78
40.52,24.03,2.92,0.78
40.47,24.19,2.92,0.80
40.46,24.29,2.94,0.86
40.44,24.33,3.10,0.88
40.42,24.24,3.22,0.95
40.38,24.19,3.27,0.98
40.33,24.06,3.27,1.00
40.38,23.98,3.25,1.00
40.36,23.93,3.18,0.95
40.34,23.94,3.09,0.92
40.36,23.98,3.01,0.86
40.34,23.98,2.95,0.78
40.32,23.96,2.95,0.74
40.30,23.94,2.95,0.70
40.32,23.93,2.95,0.71
40.34,23.92,2.95,0.73
40.42,23.88,2.95,0.74
40.49,23.85,2.95,0.77
40.59,23.84,2.95,0.80
40.72,23.88,2.96,0.86
40.94,23.94,3.00,0.86
41.07,24.08,3.01,0.84
41.19,24.20,3.04,0.90
41.30,24.38,3.08,0.90
41.44,24.54,3.19,0.84
41.60,24.79,3.30,0.86
41.82,24.98,3.47,0.93
42.07,25.16,3.66,0.98
42.29,25.48,3.94,1.06
42.61,25.85,4.21,1.14
42.96,26.15,4.51,1.30
43.31,26.45,4.92,1.48
43.73,26.76,5.34,1.68
44.10,27.06,5.73,1.89
44.36,27.26,6.13,2.09
44.60,27.49,6.48,2.26
44.84,27.76,6.61,2.52
44.98,27.95,7.09,2.70
45.39,28.16,7.38,2.88
45.64,28.36,7.50,3.03
45.87,28.57,7.84,3.18
46.08,28.86,8.15,3.41
46.24,29.17,8.50,3.62
46.40,29.39,8.81,4.06
46.52,29.57,9.11,4.51
46.64,29.74,9.39,4.79
46.82,29.86,9.65,5.02
46.98,30.01,9.89,5.25
47.11,30.13,10.10,5.41
47.23,30.25,10.30,5.57
47.30,30.35,10.46,5.69
47.49,30.49,10.60,5.83
47.67,30.66,10.69,5.77
47.87,30.79,10.77,5.66
48.07,30.95,10.85,5.70
48.18,31.11,10.92,5.76
48.26,31.24,11.01,5.80
48.23,31.36,11.14,5.88
48.24,31.44,11.27,5.99
48.22,31.53,11.43,6.10
48.22,31.57,11.55,6.21
48.15,31.60,11.64,6.26
48.09,31.63,11.69,6.36
47.91,31.65,11.76,6.49
47.91,31.69,11.85,7.00
47.85,31.75,11.92,7.20
47.84,31.79,11.97,7.28
47.84,31.81,12.02,7.33
47.81,31.82,12.02,7.27
47.78,31.83,12.02,7.20
47.85,31.83,12.02,7.20
47.88,31.84,12.06,7.21
47.96,31.86,12.07,7.12
48.05,31.89,12.13,7.28
48.17,31.92,12.18,7.40
48.37,31.96,12.26,7.60
48.51,32.01,12.42,7.81
48.63,32.10,12.56,8.01
48.69,32.18,12.68,8.12
48.72,32.26,12.84,8.20
48.80,32.36,12.92,8.10
48.82,32.45,13.02,8.20
48.86,32.56,13.14,8.44
48.95,32.66,13.34,8.63
49.04,32.72,13.50,8.88
49.15,32.80,13.63,9.00
49.31,32.89,13.73,9.10
49.48,32.96,13.82,9.19
49.54,33.06,13.88,9.06
49.63,33.16,13.93,9.23
49.69,33.26,13.98,9.31
49.68,33.33,14.03,9.36
49.64,33.40,14.06,8.93
49.63,33.46,14.01,8.66
49.63,33.53,14.03,8.94
49.61,33.57,14.10,9.00
49.58,33.61,14.14,9.06
49.56,33.62,14.18,9.10
49.55,33.67,14.18,9.08
49.85,33.71,14.21,9.07
50.00,33.81,14.23,9.08
50.04,33.85,14.26,9.02
50.01,33.89,14.32,9.18
50.00,33.93,14.40,9.28
49.98,33.99,14.50,9.42
49.95,34.04,14.56,9.46
49.93,34.06,14.64,9.58
49.91,34.12,14.71,9.66
49.92,34.16,14.76,9.64
49.93,34.16,14.78,9.62
49.96,34.19,14.80,9.62
49.90,34.21,14.80,9.50
50.02,34.25,14.78,9.40
50.06,34.28,14.78,9.36
50.02,34.31,14.81,9.48
50.06,34.35,14.84,9.52
50.08,34.38,14.85,9.52
50.10,34.39,14.89,9.51
50.10,34.41,14.93,9.71
50.10,34.43,15.01,9.69
50.18,34.46,15.05,9.69
50.29,34.51,15.07,9.70
50.40,34.57,15.10,9.78
50.40,34.63,15.14,9.63
50.37,34.68,15.18,9.82
50.36,34.75,15.26,9.93
50.34,34.80,15.31,10.01
50.34,34.83,15.35,10.03
50.34,34.87,15.38,9.82
50.34,34.92,15.36,9.78
50.38,34.97,15.39,9.91
50.40,35.02,15.43,10.00
50.62,35.09,15.47,9.97
50.81,35.15,15.52,9.91
50.93,35.21,15.61,10.12
51.02,35.29,15.73,10.23
51.10,35.36,15.86,10.30
51.15,35.45,16.00,10.44
51.15,35.52,16.07,10.36
51.14,35.58,16.15,10.50
51.12,35.65,16.22,10.54
51.10,35.70,16.29,10.61
51.10,35.75,16.37,10.83
51.09,35.80,16.45,10.87
51.06,35.83,16.50,10.90
51.01,35.85,16.54,10.96
50.98,35.88,16.55,10.88
50.96,35.96,16.54,10.68
50.92,35.97,16.52,10.57
50.94,35.98,16.51,10.54
50.94,35.98,16.51,10.54
50.96,36.01,16.54,10.53
50.96,36.03,16.56,10.51
50.98,36.04,16.56,10.51
50.96,36.04,16.59,10.52
50.95,36.02,16.60,10.54
50.90,36.02,16.62,10.61
50.82,36.02,16.67,10.79
50.82,36.01,16.70,10.85
50.80,35.99,16.69,10.76
50.75,35.98,16.69,10.85
50.72,35.97,16.70,10.77
50.67,35.93,16.69,10.74
50.60,35.90,16.65,10.70
50.56,35.86,16.65,10.75
50.48,35.81,16.62,10.75
50.44,35.78,16.56,10.67
50.40,35.75,16.54,10.72
50.33,35.74,16.51,10.70
50.38,35.71,16.45,10.60
50.38,35.68,16.42,10.47
50.30,35.64,16.37,10.47
50.24,35.61,16.35,10.45
50.16,35.58,16.34,10.48
50.12,35.53,16.31,10.48
50.04,35.48,16.29,10.50
49.97,35.44,16.26,10.48
49.88,35.42,16.20,10.33
49.80,35.38,16.15,10.28
49.72,35.33,16.13,10.23
49.63,35.28,16.09,10.20
49.57,35.23,16.05,10.18
49.49,35.16,16.01,10.15
49.41,35.10,15.94,10.11
49.34,35.06,15.88,10.06
49.28,34.99,15.81,10.03
49.10,34.93,15.75,9.96
49.04,34.88,15.68,9.92
49.04,34.84,15.64,9.85
49.01,34.78,15.57,9.83
48.97,34.76,15.51,9.79
48.90,34.71,15.44,9.72
48.90,34.65,15.38,9.68
48.83,34.59,15.30,9.64
48.76,34.55,15.22,9.55
48.70,34.49,15.14,9.50
48.64,34.41,15.07,9.52
48.56,34.35,15.02,9.48
48.48,34.28,14.94,9.43
48.41,34.22,14.88,9.39
48.36,34.12,14.81,9.50
48.28,34.07,14.73,9.36
48.20,33.99,14.64,9.20
48.13,33.88,14.53,9.12
48.01,33.80,14.44,9.01
47.98,33.71,14.35,8.93
47.88,33.59,14.27,8.84
47.80,33.50,14.22,8.80
47.72,33.40,14.14,8.74
47.62,33.31,14.05,8.72
47.52,33.22,13.96,8.63
47.42,33.10,13.85,8.43
47.32,33.01,13.77,8.42
47.22,32.90,13.72,8.51
47.10,32.79,13.61,8.50
47.01,32.70,13.52,8.46
46.94,32.60,13.42,8.38
46.88,32.50,13.31,8.31
46.86,32.43,13.18,8.21
46.93,32.37,13.06,8.10
46.94,32.28,12.97,7.93
46.98,32.23,12.85,7.62
47.00,32.22,12.75,7.67
47.00,32.18,12.65,7.45
47.02,32.13,12.52,7.31
47.02,32.10,12.38,7.21
47.02,32.07,12.28,7.12
47.02,32.03,12.19,7.05
46.88,31.99,12.10,6.95
46.78,31.95,12.02,6.85
46.65,31.91,11.93,6.78
46.50,31.86,11.85,6.71
46.35,31.75,11.81,6.74
46.30,31.65,11.76,6.62
46.22,31.46,11.68,6.56
46.12,31.29,11.57,6.46
46.02,31.11,11.46,6.39
45.92,30.91,11.32,6.29
45.86,30.73,11.15,6.19
45.76,30.53,10.97,6.04
45.61,30.36,10.80,5.90
45.59,30.19,10.61,5.76
45.51,30.01,10.43,5.62
45.40,29.82,10.26,5.47
45.31,29.66,10.03,5.34
45.19,29.52,9.84,5.16
45.11,29.37,9.64,5.01
45.02,29.23,9.46,4.84
44.95,29.16,9.31,4.71
44.92,29.07,9.18,4.56
44.94,28.99,9.06,4.46
45.01,28.90,8.93,4.39
45.03,28.82,8.82,4.30
45.06,28.76,8.72,4.25
45.08,28.68,8.61,4.17
45.08,28.61,8.52,4.07
45.08,28.59,8.48,4.00
45.28,28.56,8.47,3.95
45.41,28.55,8.47,3.99
45.50,28.51,8.47,3.99
45.55,28.48,8.46,3.97
45.57,28.48,8.44,3.95
45.57,28.48,8.43,3.92
45.55,28.48,8.39,3.86
45.51,28.48,8.36,3.81
45.47,28.45,8.38,3.81
45.36,28.41,8.43,3.82
45.28,28.36,8.52,3.90
45.27,28.31,8.60,4.31
45.23,28.24,8.56,4.38
45.18,28.20,8.51,4.42
45.09,28.17,8.43,4.38
44.98,28.13,8.35,4.34
44.84,28.10,8.23,4.10
44.70,28.06,8.10,3.83
44.58,28.00,8.00,3.67
44.46,27.93,7.88,3.58
44.43,27.81,7.78,3.48
44.38,27.70,7.67,3.43
44.30,27.59,7.57,3.38
44.27,27.50,7.46,3.28
44.24,27.45,7.34,3.19
44.22,27.33,7.26,3.10
44.18,27.33,7.19,3.05
44.13,27.30,7.13,2.98
44.07,27.28,7.09,2.92
44.02,27.25,7.03,2.92
43.94,27.24,6.96,2.91
43.85,27.21,6.88,2.88
43.79,27.16,6.80,2.78
43.70,27.07,6.76,2.73
43.61,26.98,6.71,2.68
43.55,26.87,6.65,2.61
43.49,26.78,6.61,2.60
43.44,26.69,6.51,2.56
43.37,26.62,6.42,2.52
43.26,26.55,6.30,2.45
43.11,26.48,6.19,2.37
42.97,26.40,6.09,2.30
42.91,26.32,6.03,2.12
42.81,26.25,5.96,2.11
42.78,26.18,5.90,2.08
42.76,26.13,5.82,2.05
42.80,26.10,5.75,2.03
42.92,26.06,5.69,1.96
42.97,26.05,5.69,1.94
43.10,26.10,5.69,1.94
43.18,26.15,5.67,1.93
43.24,26.23,5.65,1.89
43.25,26.30,5.63,1.86
43.20,26.38,5.63,1.85
43.15,26.43,5.63,1.81
43.09,26.42,5.69,1.96
43.01,26.38,5.76,2.02
42.92,26.30,5.82,2.09
42.88,26.22,5.86,2.29
42.83,26.15,5.86,2.45
42.83,26.07,5.94,2.52
42.83,26.02,6.01,2.52
42.85,25.96,6.00,2.52
43.00,25.93,5.92,2.53
43.02,25.92,5.78,2.50
42.94,25.92,5.65,2.33
42.90,25.95,5.51,2.13
42.82,25.97,5.42,2.07
42.74,25.96,5.38,2.18
42.64,25.93,5.36,2.17
42.55,25.88,5.32,2.20
42.46,25.79,5.30,2.20
42.38,25.72,5.26,2.20
42.34,25.63,5.19,2.20
42.28,25.54,5.13,2.07
42.25,25.48,5.05,2.12
42.25,25.42,4.98,2.10
42.28,25.39,4.94,2.09
42.21,25.37,4.88,1.89
42.32,25.35,4.82,2.16
42.36,25.34,4.80,2.03
42.42,25.35,4.73,1.57
42.50,25.39,4.71,1.41
42.57,25.44,4.73,1.36
42.66,25.54,4.76,1.44
42.69,25.60,4.80,
42.73,25.65,4.82,1.64
42.70,25.73,4.80,1.56
42.68,25.85,4.80,1.56
42.64,26.01,4.82,1.58
42.60,26.12,4.88,1.53
42.56,26.12,4.92,1.54
42.53,26.10,5.01,1.58
42.52,26.03,5.07,1.64
42.51,25.94,5.07,1.63
42.50,25.87,5.03,1.56
42.48,25.80,4.96,1.52
42.46,25.76,4.88,1.47
42.41,25.72,4.80,1.48
42.35,25.68,4.73,1.50
42.25,25.63,4.67,1.53
42.16,25.59,4.63,1.52
42.06,25.53,4.57,1.55
41.92,25.46,4.53,1.55
41.82,25.37,4.48,1.50
41.72,25.27,4.42,1.50
41.66,25.18,4.34,1.50
41.58,25.13,4.26,1.40
41.51,25.09,4.11,1.30
41.44,25.09,3.85,1.22
41.36,25.07,3.75,1.10
41.27,24.97,3.74,1.01
41.24,24.86,3.70,1.01
41.23,24.82,3.66,1.02
41.20,24.87,3.59,1.03
41.16,24.75,3.54,1.00
41.16,24.71,3.47,0.95
41.14,24.69,3.41,0.95
41.14,24.69,3.35,0.90
41.13,24.69,3.30,0.90
41.16,24.67,3.31,0.92
41.18,24.65,3.35,0.94
41.18,24.62,3.34,0.89
41.16,24.62,3.34,0.86
41.13,24.59,3.30,0.80
41.09,24.60,3.24,0.77
41.06,24.63,3.20,0.83
40.98,24.63,3.22,0.84
41.12,24.63,3.21,0.88
41.21,24.63,3.24,0.92
41.38,24.63,3.26,0.97
41.52,24.65,3.29,1.00
41.58,24.74,3.30,1.00
41.67,24.80,3.26,1.00
41.76,24.86,3.28,0.97
41.84,24.91,3.34,0.98
41.92,25.04,3.40,0.92
41.96,25.14,3.45,0.95
41.96,25.30,3.54,0.90
41.93,25.39,3.64,0.86
41.92,25.43,3.66,0.92
41.89,25.45,3.75,0.97
41.93,25.45,3.90,1.08
41.98,25.47,3.91,1.12
42.03,25.50,3.92,1.17
42.12,25.53,3.95,1.20
42.28,25.53,3.97,1.18
42.49,25.55,3.99,1.18
42.73,25.62,4.00,1.21
42.94,25.79,4.03,1.20
43.15,25.92,4.07,1.23
43.31,26.07,4.25,1.26
43.45,26.23,4.44,1.30
43.56,26.44,4.57,1.34
43.61,26.64,4.71,1.50
43.64,26.83,4.94,1.57
43.65,27.03,5.09,1.68
43.61,27.17,5.23,1.81
43.60,27.24,5.38,1.92
43.60,27.26,5.53,2.02
43.60,27.26,5.67,2.08
43.64,27.22,5.76,2.12
43.77,27.19,5.84,2.23
43.79,27.18,5.90,2.24
43.85,27.13,5.94,2.24
43.91,27.13,6.03,2.26
43.98,27.17,6.09,2.27
44.03,27.26,6.17,2.30
44.12,27.34,6.21,2.35
44.21,27.44,6.26,2.36
44.30,27.53,6.30,2.36
44.42,27.61,6.36,2.37
44.54,27.68,6.42,2.44
44.68,27.83,6.50,2.48
44.90,27.98,6.63,2.51
45.17,28.14,6.82,2.60
45.41,28.33,7.07,2.86
45.61,28.55,7.34,3.13
45.72,28.74,7.57,3.39
45.89,28.87,7.80,3.70
46.04,28.97,8.02,3.92
46.22,29.09,8.23,4.14
46.37,29.21,8.42,4.46
46.51,29.32,8.61,4.76
46.62,29.40,8.84,4.98
46.72,29.45,9.03,4.93
46.91,29.49,9.17,5.25
47.04,29.57,9.26,5.38
47.12,29.65,9.32,5.42
47.21,29.74,9.43,5.55
47.29,29.92,9.56,5.63
47.43,30.05,9.72,5.67
47.58,30.19,9.88,5.84
47.83,30.36,10.03,5.94
48.04,30.54,10.19,6.02
48.24,30.71,10.35,6.10
48.38,30.85,10.50,6.16
48.50,30.98,10.67,6.34
48.65,31.00,10.78,6.31
48.78,31.15,10.89,6.29
48.85,31.28,10.96,6.26
48.94,31.41,11.00,6.02
49.00,31.52,11.11,6.19
49.05,31.62,11.25,6.40
49.12,31.70,11.35,6.40
49.22,31.79,11.47,6.82
49.30,31.88,11.60,7.06
49.38,31.95,11.76,6.80
49.50,32.02,11.92,7.25
49.60,32.09,12.07,7.40
49.71,32.15,12.22,7.54
49.81,32.23,12.34,7.67
49.86,32.31,12.47,7.78
49.92,32.39,12.60,7.90
49.95,32.46,12.71,7.96
49.95,32.54,12.85,8.08
50.02,32.63,12.97,8.17
50.02,32.69,13.02,8.28
50.05,32.73,13.07,8.24
50.06,32.79,13.06,7.96
50.07,32.82,13.02,7.72
50.09,32.86,13.00,7.62
50.13,32.92,12.98,7.57
50.15,32.98,13.02,7.78
50.20,33.02,13.14,8.28
50.24,33.07,13.23,8.45
50.24,33.14,13.31,8.56
50.33,33.21,13.39,8.62
50.33,33.27,13.50,8.67
50.39,33.34,13.59,8.73
50.36,33.40,13.67,8.80
50.35,33.44,13.73,8.84
50.32,33.48,13.81,8.90
50.32,33.51,13.94,8.96
50.39,33.54,14.06,9.07
50.46,33.61,14.14,9.15
50.53,33.66,14.21,9.22
50.65,33.73,14.27,9.23
50.68,33.79,14.35,9.32
50.72,33.85,14.43,9.36
50.79,33.92,14.50,9.42
50.78,33.96,14.56,9.49
50.78,34.01,14.63,9.55
50.74,34.04,14.69,9.60
50.70,34.07,14.73,9.62
50.69,34.10,14.77,9.67
50.73,34.13,14.80,9.69
50.77,34.17,14.76,9.73
50.79,34.21,14.81,9.76
50.82,34.22,14.85,9.80
50.84,34.24,14.86,9.82
50.88,34.29,14.89,9.83
50.92,34.31,14.89,9.86
50.92,34.31,14.90,9.87
50.90,34.31,14.93,9.88
50.90,34.38,14.96,9.92
50.90,34.41,15.03,9.94
50.85,34.43,15.11,10.00
50.84,34.48,15.14,10.03
50.82,34.49,15.14,10.00
50.79,34.50,15.14,10.03
50.75,34.50,15.14,10.04
50.74,34.50,15.15,10.06
50.68,34.50,15.15,10.07
50.68,34.48,15.15,10.06
50.72,34.48,15.15,10.06
50.77,34.52,15.14,10.09
50.77,34.53,15.23,10.10
50.77,34.53,15.31,10.09
50.74,34.56,15.36,10.23
50.67,34.59,15.40,10.27
50.67,34.60,15.46,10.30
50.64,34.62,15.50,10.33
50.58,34.63,15.52,10.34
50.53,34.64,15.53,10.38
50.45,34.64,15.55,10.40
50.41,34.62,15.56,10.41
50.41,34.60,15.55,10.25
50.27,34.56,15.52,10.34
50.22,34.52,15.52,10.37
50.19,34.51,15.52,10.40
50.14,34.49,15.50,10.40
50.13,34.45,15.46,10.37
50.08,34.42,15.43,10.34
50.07,34.40,15.39,10.22
50.02,34.36,15.39,10.30
49.98,34.33,15.35,10.29
49.94,34.29,15.30,10.24
49.91,34.24,15.25,10.18
49.85,34.20,15.18,10.18
49.79,34.16,15.14,10.14
49.73,34.12,15.03,9.78
49.68,34.09,14.92,9.60
49.68,34.08,14.92,9.88
49.63,34.04,14.92,9.97
49.58,34.01,14.90,9.97
49.51,33.99,14.88,9.94
49.46,33.94,14.85,9.93
49.38,33.92,14.82,9.91
49.38,33.94,14.80,9.88
49.34,33.93,14.76,9.83
49.25,33.91,14.69,9.73
49.18,33.90,14.59,9.27
49.04,33.87,14.52,9.31
48.94,33.82,14.46,9.22
48.85,33.77,14.47,9.50
48.76,33.72,14.51,9.56
48.76,33.64,14.51,9.57
48.64,33.59,14.48,9.56
48.56,33.53,14.39,9.32
48.44,33.46,14.30,9.10
48.38,33.37,14.21,8.99
48.29,33.27,14.14,9.04
48.25,33.16,14.05,9.00
48.18,33.07,13.96,8.92
48.13,32.99,13.85,8.88
48.08,32.90,13.77,8.80
48.10,32.82,13.68,8.75
48.06,32.72,13.60,8.68
48.02,32.66,13.51,8.60
47.98,32.60,13.40,8.52
47.80,32.53,13.30,8.40
47.80,32.49,13.19,8.32
47.72,32.42,13.09,8.24
47.62,32.36,12.94,7.93
47.57,32.30,12.81,7.74
47.46,32.22,12.71,7.70
47.35,32.15,12.63,7.61
47.25,32.08,12.52,7.52
47.12,31.92,12.43,7.47
47.01,31.93,12.32,7.37
46.91,31.80,12.25,7.28
46.82,31.68,12.14,7.12
46.74,31.54,12.06,6.98
46.68,31.39,11.98,6.85
46.61,31.24,11.93,6.76
46.62,31.02,11.85,6.74
46.65,30.98,11.77,6.68
46.71,30.87,11.68,6.60
46.69,30.81,11.56,6.52
46.66,30.76,11.47,6.44
46.62,30.68,11.38,6.35
46.57,30.63,11.28,6.25
46.54,30.57,11.18,6.20
46.49,30.51,11.06,6.12
46.46,30.49,10.96,6.04
46.38,30.46,10.85,5.94
46.34,30.40,10.77,5.84
46.29,30.36,10.69,5.78
46.22,30.30,10.64,5.69
46.22,30.24,10.60,5.67
46.22,30.18,10.59,5.67
46.22,30.15,10.56,5.65
46.23,30.12,10.52,5.63
46.22,30.11,10.48,5.60
46.16,30.08,10.46,5.56
46.08,30.02,10.43,5.52
45.98,29.97,10.39,5.51
45.89,29.91,10.31,5.50
45.80,29.83,10.23,5.42
45.70,29.70,10.15,5.34
45.60,29.62,10.07,5.29
45.51,29.56,9.98,5.22
45.41,29.42,9.85,5.09
45.33,29.34,9.72,4.96
45.25,29.11,9.57,4.90
45.18,29.02,9.43,4.82
45.10,28.96,9.27,4.72
44.95,28.88,9.14,4.61
44.80,28.79,9.00,4.47
44.75,28.66,8.88,4.36
44.73,28.51,8.77,4.27
44.68,28.37,8.72,4.22
44.60,28.23,8.64,4.19
44.50,28.09,8.51,4.10
44.42,27.95,8.36,4.00
44.33,27.81,8.19,3.87
44.23,27.69,8.00,3.71
44.08,27.56,7.84,3.58
43.92,27.43,7.71,3.52
43.78,27.31,7.59,3.44
43.63,27.17,7.48,3.38
43.51,27.04,7.34,3.26
43.46,26.92,7.23,3.16
43.38,26.83,7.15,3.10
43.31,26.75,7.07,3.02
43.27,26.64,7.00,2.94
43.38,26.58,6.94,2.92
43.40,26.51,6.88,2.88
43.38,26.46,6.84,2.83
43.38,26.43,6.73,2.78
43.37,26.51,6.63,2.66
43.32,26.51,6.53,2.93
43.26,26.51,6.44,2.91
43.18,26.53,6.36,2.87
43.11,26.50,6.32,2.88
43.02,26.46,6.28,2.90
42.94,26.39,6.23,2.89
42.86,26.30,6.17,2.87
42.75,26.19,6.11,2.91
42.62,26.10,6.01,2.86
42.56,26.01,5.90,2.76
42.46,25.91,5.80,2.73
42.32,25.80,5.69,2.65
42.21,25.72,5.61,2.58
42.12,25.63,5.59,2.51
42.02,25.53,5.57,2.44
42.00,25.45,5.50,2.45
41.97,25.36,5.36,2.42
41.94,25.30,5.17,2.34
41.81,25.24,5.01,2.25
41.76,25.19,4.88,2.15
41.65,25.13,4.76,2.09
41.56,25.09,4.67,2.05
41.44,25.03,4.57,2.04
41.33,24.94,4.50,2.02
41.28,24.87,4.40,1.95
41.21,24.78,4.30,1.89
41.12,24.69,4.23,1.81
41.05,24.61,4.13,1.71
41.00,24.57,4.00,1.65
40.96,24.50,3.89,1.61
40.92,24.44,3.76,1.59
40.85,24.40,3.71,1.61
40.81,24.32,3.65,1.57
40.75,24.23,3.56,1.53
40.69,24.19,3.50,1.49
40.62,24.13,3.47,1.52
40.59,24.10,3.41,1.57
40.55,24.05,3.34,1.61
40.50,24.00,3.33,1.63
40.44,23.95,3.29,1.59
40.44,23.88,3.23,1.51
40.44,23.84,3.14,1.48
40.42,23.81,3.08,1.41
40.40,23.78,3.02,1.34
40.36,23.76,2.98,1.27
40.36,23.74,2.92,1.20
40.34,23.72,2.89,1.23
40.34,23.72,2.88,1.21
40.34,23.69,2.84,1.19
40.32,23.67,2.80,1.17
40.29,23.65,2.78,1.20
40.27,23.64,2.78,1.23
40.24,23.62,2.77,1.22
40.21,23.60,2.69,1.15
40.18,23.56,2.64,1.11
40.15,23.51,2.61,1.09
40.12,23.48,2.59,1.08
40.07,23.47,2.57,1.06
40.04,23.45,2.54,1.05
,,,
39.98,23.36,2.51,0.99
39.98,23.31,2.48,0.95
39.98,23.26,2.46,0.96
39.98,23.21,2.46,1.05
39.98,23.16,2.46,1.09
39.98,23.11,2.45,1.14
39.98,23.06,2.47,1.19
39.98,23.00,2.48,1.23
40.01,22.95,2.46,1.19
40.01,22.93,2.44,1.17
39.99,22.87,2.40,1.13
39.99,22.82,2.35,1.07
40.00,22.74,2.39,1.05
39.99,22.70,2.43,1.07
39.97,22.66,2.44,1.04
39.95,22.61,2.44,1.01
39.92,22.55,2.43,1.01
39.87,22.50,2.39,0.99
39.82,22.46,2.35,0.99
39.80,22.41,2.35,1.07
39.79,22.34,2.34,1.08
39.77,22.32,2.34,1.07
39.77,22.25,2.32,1.08
39.76,22.20,2.29,1.05
39.74,22.16,2.25,1.07
39.75,22.11,2.21,1.01
39.74,22.06,2.16,1.00
39.74,22.00,2.11,0.97
39.73,21.96,2.09,0.93
39.71,21.91,2.06,0.89
39.70,21.91,2.03,0.83
39.68,21.89,2.02,0.79
39.68,21.87,2.02,0.83
39.70,21.86,2.04,0.91
39.70,21.87,2.05,0.97
39.72,21.95,2.05,1.01
39.73,22.09,2.11,1.01
39.75,22.24,2.14,0.99
39.79,22.32,2.17,1.10
39.84,22.32,2.20,1.12
39.86,22.36,2.24,1.06
39.88,22.40,2.27,1.03
39.90,22.44,2.28,0.99
39.92,22.48,2.31,0.95
39.92,22.51,2.34,0.95
39.90,22.52,2.39,0.93
39.89,22.53,2.42,0.98
39.89,22.53,2.46,1.07
39.85,22.50,2.50,1.07
39.83,22.46,2.51,1.10
39.82,22.43,2.51,1.10
39.82,22.40,2.51,1.11
39.82,22.37,2.50,1.18
39.84,22.34,2.46,1.19
39.87,22.31,2.41,1.16
39.97,22.30,2.35,1.06
40.03,22.35,2.31,1.06
40.12,22.33,2.28,0.99
40.18,22.35,2.27,0.97
40.28,22.41,2.28,0.91
40.40,22.48,2.36,1.02
40.58,22.55,2.47,1.15
40.68,22.68,2.53,1.20
40.89,22.85,2.70,1.27
41.02,23.12,2.88,1.36
41.20,23.35,3.00,1.47
41.34,23.59,3.16,1.47
41.50,23.81,3.42,1.55
41.60,23.89,3.74,1.68
41.74,23.93,3.94,1.74
41.88,24.00,4.09,1.79
42.12,24.31,4.21,1.81
42.21,24.50,4.26,1.79
42.44,24.66,4.34,1.79
42.65,24.81,4.50,1.85
42.82,25.03,4.73,1.98
42.99,25.25,4.92,2.08
43.15,25.49,5.21,2.19
43.30,25.70,5.53,2.32
43.42,25.91,5.80,2.45
43.55,26.13,6.03,2.59
43.62,26.25,6.28,2.75
43.70,26.36,6.48,2.90
43.77,26.46,6.63,3.01
43.91,26.59,6.76,3.11
44.00,26.66,6.88,3.20
